question,answers
Which musician founded the Red Hot Peppers?,"{'answer_start': array([994]), 'text': array(['jelly roll morton'], dtype=object)}"
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,"{'answer_start': array([128]), 'text': array(['stars on 45 medley'], dtype=object)}"
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,"{'answer_start': array([499]), 'text': array(['stars on 45 medley'], dtype=object)}"
Which musical featured the song The Street Where You Live?,"{'answer_start': array([340]), 'text': array(['my fair lady'], dtype=object)}"
Which musical featured the song The Street Where You Live?,"{'answer_start': array([947]), 'text': array(['my fair lady'], dtype=object)}"
Who was the last inmate of Spandau jail in Berlin?,"{'answer_start': array([673]), 'text': array(['rudolf hess'], dtype=object)}"
Who was the last inmate of Spandau jail in Berlin?,"{'answer_start': array([1409]), 'text': array(['rudolf hess'], dtype=object)}"
Which volcano in Tanzania is the highest mountain in Africa?,"{'answer_start': array([1029]), 'text': array(['kilimanjaro'], dtype=object)}"
Which volcano in Tanzania is the highest mountain in Africa?,"{'answer_start': array([292]), 'text': array(['kilimanjaro'], dtype=object)}"
Which volcano in Tanzania is the highest mountain in Africa?,"{'answer_start': array([401]), 'text': array(['kilimanjaro'], dtype=object)}"
Of which African country is Niamey the capital?,"{'answer_start': array([1217]), 'text': array(['niger'], dtype=object)}"
Of which African country is Niamey the capital?,"{'answer_start': array([1012]), 'text': array(['niger'], dtype=object)}"
Of which African country is Niamey the capital?,"{'answer_start': array([455]), 'text': array(['niger'], dtype=object)}"
Who was the man behind The Chipmunks?,"{'answer_start': array([151]), 'text': array(['david seville'], dtype=object)}"
The flag of Libya is a plain rectangle of which color?,"{'answer_start': array([560]), 'text': array(['green'], dtype=object)}"
The flag of Libya is a plain rectangle of which color?,"{'answer_start': array([286]), 'text': array(['green'], dtype=object)}"
The flag of Libya is a plain rectangle of which color?,"{'answer_start': array([1117]), 'text': array(['green'], dtype=object)}"
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?","{'answer_start': array([707]), 'text': array(['boojum'], dtype=object)}"
Which US No 1 single came from Diana Ross's platinum album Diana?,"{'answer_start': array([900]), 'text': array(['upside down'], dtype=object)}"
Rita Coolidge sang the title song for which Bond film?,"{'answer_start': array([270]), 'text': array(['octopussy'], dtype=object)}"
Rita Coolidge sang the title song for which Bond film?,"{'answer_start': array([459]), 'text': array(['octopussy'], dtype=object)}"
Where in Canada is the Lion's Gate bridge?,"{'answer_start': array([462]), 'text': array(['vancouver'], dtype=object)}"
Where in Canada is the Lion's Gate bridge?,"{'answer_start': array([120]), 'text': array(['vancouver'], dtype=object)}"
Where in Canada is the Lion's Gate bridge?,"{'answer_start': array([543]), 'text': array(['vancouver'], dtype=object)}"
Which highway was Revisited in a classic 60s album by Bob Dylan?,"{'answer_start': array([1066]), 'text': array(['61'], dtype=object)}"
Which highway was Revisited in a classic 60s album by Bob Dylan?,"{'answer_start': array([731]), 'text': array(['61'], dtype=object)}"
Which highway was Revisited in a classic 60s album by Bob Dylan?,"{'answer_start': array([1427]), 'text': array(['61'], dtype=object)}"
Who had a 70s No 1 hit with Let's Do It Again?,"{'answer_start': array([482]), 'text': array(['staple singers'], dtype=object)}"
Who had a 70s No 1 hit with Let's Do It Again?,"{'answer_start': array([523]), 'text': array(['staple singers'], dtype=object)}"
Where in England was actor Nigel Hawthorne born?,"{'answer_start': array([121]), 'text': array(['coventry'], dtype=object)}"
What claimed the life of singer Kathleen Ferrier?,"{'answer_start': array([411]), 'text': array(['cancer'], dtype=object)}"
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,"{'answer_start': array([377]), 'text': array(['dangerous minds'], dtype=object)}"
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,"{'answer_start': array([900]), 'text': array(['dangerous minds'], dtype=object)}"
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,"{'answer_start': array([37]), 'text': array(['dangerous minds'], dtype=object)}"
In which country is the Sky Train Rail bridge?,"{'answer_start': array([44]), 'text': array(['canada'], dtype=object)}"
In which country is the Sky Train Rail bridge?,"{'answer_start': array([247]), 'text': array(['canada'], dtype=object)}"
In which sport could the Pacers take on the Pistons?,"{'answer_start': array([762]), 'text': array(['basketball'], dtype=object)}"
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""","{'answer_start': array([1092]), 'text': array(['triumph and disaster'], dtype=object)}"
What is Osbert Lancaster best known for producing?,"{'answer_start': array([576]), 'text': array(['cartoons'], dtype=object)}"
What is Osbert Lancaster best known for producing?,"{'answer_start': array([715]), 'text': array(['cartoons'], dtype=object)}"
What is Osbert Lancaster best known for producing?,"{'answer_start': array([620]), 'text': array(['cartoons'], dtype=object)}"
Where did the Shinning Path terrorists operate?,"{'answer_start': array([286]), 'text': array(['peru'], dtype=object)}"
Where did the Shinning Path terrorists operate?,"{'answer_start': array([214]), 'text': array(['peru'], dtype=object)}"
Where did the Shinning Path terrorists operate?,"{'answer_start': array([24]), 'text': array(['peru'], dtype=object)}"
Who had a Too Legit To Quit Tour?,"{'answer_start': array([854]), 'text': array(['mc hammer'], dtype=object)}"
What was Walter Matthau's first movie?,"{'answer_start': array([1170]), 'text': array(['kentuckian'], dtype=object)}"
Brandon Lee died during the making of which movie?,"{'answer_start': array([541]), 'text': array(['crow'], dtype=object)}"
Brandon Lee died during the making of which movie?,"{'answer_start': array([663]), 'text': array(['crow'], dtype=object)}"
Which Brit broke the land speed record in 1990 in Thrust 2?,"{'answer_start': array([118]), 'text': array(['richard noble'], dtype=object)}"
In which state was Gene Vincent born?,"{'answer_start': array([380]), 'text': array(['virginia'], dtype=object)}"
In which state was Gene Vincent born?,"{'answer_start': array([1218]), 'text': array(['virginia'], dtype=object)}"
In which state was Gene Vincent born?,"{'answer_start': array([126]), 'text': array(['virginia'], dtype=object)}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"{'answer_start': array([1056]), 'text': array(['sunset boulevard'], dtype=object)}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"{'answer_start': array([1442]), 'text': array(['sunset boulevard'], dtype=object)}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"{'answer_start': array([6]), 'text': array(['sunset boulevard'], dtype=object)}"
Richard Daley was mayor of which city for 21 years?,"{'answer_start': array([602]), 'text': array(['chicago'], dtype=object)}"
Richard Daley was mayor of which city for 21 years?,"{'answer_start': array([926]), 'text': array(['chicago'], dtype=object)}"
Richard Daley was mayor of which city for 21 years?,"{'answer_start': array([836]), 'text': array(['chicago'], dtype=object)}"
Dave Gilmore and Roger Waters were in which rock group?,"{'answer_start': array([235]), 'text': array(['pink floyd'], dtype=object)}"
Dave Gilmore and Roger Waters were in which rock group?,"{'answer_start': array([277]), 'text': array(['pink floyd'], dtype=object)}"
Dave Gilmore and Roger Waters were in which rock group?,"{'answer_start': array([917]), 'text': array(['pink floyd'], dtype=object)}"
Which artist David was born in Bradford UK?,"{'answer_start': array([1083]), 'text': array(['hockney'], dtype=object)}"
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?","{'answer_start': array([768]), 'text': array(['manticore'], dtype=object)}"
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?","{'answer_start': array([676]), 'text': array(['manticore'], dtype=object)}"
What was President Gerald Ford's middle name?,"{'answer_start': array([1172]), 'text': array(['rudolph'], dtype=object)}"
Who first hosted Family Feud?,"{'answer_start': array([184]), 'text': array(['richard dawson'], dtype=object)}"
Who first hosted Family Feud?,"{'answer_start': array([749]), 'text': array(['richard dawson'], dtype=object)}"
Who first hosted Family Feud?,"{'answer_start': array([366]), 'text': array(['richard dawson'], dtype=object)}"
Who is featured on Puff Daddy's Can't Hold Me Down?,"{'answer_start': array([86]), 'text': array(['mase'], dtype=object)}"
Who is featured on Puff Daddy's Can't Hold Me Down?,"{'answer_start': array([935]), 'text': array(['mase'], dtype=object)}"
Who is featured on Puff Daddy's Can't Hold Me Down?,"{'answer_start': array([591]), 'text': array(['mase'], dtype=object)}"
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","{'answer_start': array([261]), 'text': array(['hitler'], dtype=object)}"
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","{'answer_start': array([1086]), 'text': array(['hitler'], dtype=object)}"
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","{'answer_start': array([774]), 'text': array(['hitler'], dtype=object)}"
Who was the first US-born winner of golf's British Open?,"{'answer_start': array([572]), 'text': array(['walter hagen'], dtype=object)}"
Who was the first US-born winner of golf's British Open?,"{'answer_start': array([411]), 'text': array(['walter hagen'], dtype=object)}"
"In music, who was Sweet and Innocent and Too Young?","{'answer_start': array([80]), 'text': array(['donny osmond'], dtype=object)}"
"In music, who was Sweet and Innocent and Too Young?","{'answer_start': array([545]), 'text': array(['donny osmond'], dtype=object)}"
"In music, who was Sweet and Innocent and Too Young?","{'answer_start': array([192]), 'text': array(['donny osmond'], dtype=object)}"
Bandar Seri Begawan International airport is in which country?,"{'answer_start': array([128]), 'text': array(['brunei darussalam'], dtype=object)}"
What is the name of Terence and Shirley Conran's dress designer son?,"{'answer_start': array([319]), 'text': array(['jasper'], dtype=object)}"
What is the name of Terence and Shirley Conran's dress designer son?,"{'answer_start': array([417]), 'text': array(['jasper'], dtype=object)}"
Who or what was Gentle Ben in the 60s TV series?,"{'answer_start': array([927]), 'text': array(['bear'], dtype=object)}"
Who or what was Gentle Ben in the 60s TV series?,"{'answer_start': array([825]), 'text': array(['bear'], dtype=object)}"
Who or what was Gentle Ben in the 60s TV series?,"{'answer_start': array([1081]), 'text': array(['bear'], dtype=object)}"
River Phoenix died during the making of which movie?,"{'answer_start': array([585]), 'text': array(['dark blood'], dtype=object)}"
How old was Jimi Hendrix when he died?,"{'answer_start': array([698]), 'text': array(['27'], dtype=object)}"
Otis Barton was a pioneer in exploring where?,"{'answer_start': array([929]), 'text': array(['undersea'], dtype=object)}"
Otis Barton was a pioneer in exploring where?,"{'answer_start': array([766]), 'text': array(['undersea'], dtype=object)}"
What was the profession of Paul Strand (1890 - 1976)?,"{'answer_start': array([796]), 'text': array(['photographer'], dtype=object)}"
What was the profession of Paul Strand (1890 - 1976)?,"{'answer_start': array([1261]), 'text': array(['photographer'], dtype=object)}"
What was the profession of Paul Strand (1890 - 1976)?,"{'answer_start': array([488]), 'text': array(['photographer'], dtype=object)}"
Benina international airport is in which country?,"{'answer_start': array([905]), 'text': array(['libya'], dtype=object)}"
Benina international airport is in which country?,"{'answer_start': array([682]), 'text': array(['libya'], dtype=object)}"
Benina international airport is in which country?,"{'answer_start': array([234]), 'text': array(['libya'], dtype=object)}"
Which actress was voted Miss Greenwich Village in 1942?,"{'answer_start': array([1256]), 'text': array(['lauren bacall'], dtype=object)}"
"In the Bible, who did the sun and moon stand still before?","{'answer_start': array([815]), 'text': array(['joshua'], dtype=object)}"
"In the Bible, who did the sun and moon stand still before?","{'answer_start': array([267]), 'text': array(['joshua'], dtype=object)}"
"In the Bible, who did the sun and moon stand still before?","{'answer_start': array([49]), 'text': array(['joshua'], dtype=object)}"
Who was the youngest brother in the Beach Boys?,"{'answer_start': array([609]), 'text': array(['carl wilson'], dtype=object)}"
Who was the youngest brother in the Beach Boys?,"{'answer_start': array([703]), 'text': array(['carl wilson'], dtype=object)}"
Who set fire to his guitar at the Monterey Pop festival in 19676?,"{'answer_start': array([818]), 'text': array(['jimi hendrix'], dtype=object)}"
Who set fire to his guitar at the Monterey Pop festival in 19676?,"{'answer_start': array([958]), 'text': array(['jimi hendrix'], dtype=object)}"
Who was the Georgia Peach?,"{'answer_start': array([389]), 'text': array(['georgia peach'], dtype=object)}"
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"{'answer_start': array([355]), 'text': array(['july 20'], dtype=object)}"
What was the last US state to reintroduce alcohol after prohibition?,"{'answer_start': array([946]), 'text': array(['utah'], dtype=object)}"
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?","{'answer_start': array([761]), 'text': array(['10'], dtype=object)}"
"In Greek mythology, who were Arges, Brontes and Steropes?","{'answer_start': array([1203]), 'text': array(['cyclopes'], dtype=object)}"
"In Greek mythology, who were Arges, Brontes and Steropes?","{'answer_start': array([95]), 'text': array(['cyclopes'], dtype=object)}"
"In Greek mythology, who were Arges, Brontes and Steropes?","{'answer_start': array([138]), 'text': array(['cyclopes'], dtype=object)}"
Who had a 60s No 1 with Downtown?,"{'answer_start': array([438]), 'text': array(['petula clark'], dtype=object)}"
Who had a 60s No 1 with Downtown?,"{'answer_start': array([531]), 'text': array(['petula clark'], dtype=object)}"
Who had a 60s No 1 with Downtown?,"{'answer_start': array([218]), 'text': array(['petula clark'], dtype=object)}"
Della Street was whose secretary?,"{'answer_start': array([493]), 'text': array(['perry mason'], dtype=object)}"
Della Street was whose secretary?,"{'answer_start': array([1167]), 'text': array(['perry mason'], dtype=object)}"
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,"{'answer_start': array([868]), 'text': array(['virginia wade'], dtype=object)}"
Nigel Hawthorne was Oscar nominated for The Madness of which King?,"{'answer_start': array([1212]), 'text': array(['george'], dtype=object)}"
Nigel Hawthorne was Oscar nominated for The Madness of which King?,"{'answer_start': array([115]), 'text': array(['george'], dtype=object)}"
Nigel Hawthorne was Oscar nominated for The Madness of which King?,"{'answer_start': array([577]), 'text': array(['george'], dtype=object)}"
Which Star Trek star directed Three Men and a Baby?,"{'answer_start': array([228]), 'text': array(['leonard nimoy'], dtype=object)}"
Which Star Trek star directed Three Men and a Baby?,"{'answer_start': array([584]), 'text': array(['leonard nimoy'], dtype=object)}"
Who directed the classic 30s western Stagecoach?,"{'answer_start': array([789]), 'text': array(['john ford'], dtype=object)}"
Who directed the classic 30s western Stagecoach?,"{'answer_start': array([3]), 'text': array(['john ford'], dtype=object)}"
Who directed the classic 30s western Stagecoach?,"{'answer_start': array([946]), 'text': array(['john ford'], dtype=object)}"
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,"{'answer_start': array([56]), 'text': array(['wild palms'], dtype=object)}"
Which sitcom star appeared on the big screening The Object of My Affection?,"{'answer_start': array([875]), 'text': array(['jennifer aniston'], dtype=object)}"
Which sitcom star appeared on the big screening The Object of My Affection?,"{'answer_start': array([984]), 'text': array(['jennifer aniston'], dtype=object)}"
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,"{'answer_start': array([117]), 'text': array(['baby buggy'], dtype=object)}"
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,"{'answer_start': array([1056]), 'text': array(['baby buggy'], dtype=object)}"
Which movie was a biopic about the life of David Helfgott?,"{'answer_start': array([610]), 'text': array(['shine'], dtype=object)}"
Which movie was a biopic about the life of David Helfgott?,"{'answer_start': array([123]), 'text': array(['shine'], dtype=object)}"
Which movie was a biopic about the life of David Helfgott?,"{'answer_start': array([1140]), 'text': array(['shine'], dtype=object)}"
Which female singer was born on exactly the same day as impressionist Rich Little?,"{'answer_start': array([1161]), 'text': array(['tina turner'], dtype=object)}"
Melanie Molitor is the mom of which tennis world NO 1?,"{'answer_start': array([78]), 'text': array(['hingis'], dtype=object)}"
Melanie Molitor is the mom of which tennis world NO 1?,"{'answer_start': array([432]), 'text': array(['hingis'], dtype=object)}"
Melanie Molitor is the mom of which tennis world NO 1?,"{'answer_start': array([144]), 'text': array(['hingis'], dtype=object)}"
How was the European Recovery Program in the 1940s more commonly known?,"{'answer_start': array([518]), 'text': array(['european recovery program'], dtype=object)}"
How was the European Recovery Program in the 1940s more commonly known?,"{'answer_start': array([1035]), 'text': array(['european recovery program'], dtype=object)}"
What relation is Joey Richardson to Vanessa Redgrave?,"{'answer_start': array([206]), 'text': array(['daughter'], dtype=object)}"
What relation is Joey Richardson to Vanessa Redgrave?,"{'answer_start': array([1186]), 'text': array(['daughter'], dtype=object)}"
In which European city is the Belvederen Gallery?,"{'answer_start': array([842]), 'text': array(['vienna'], dtype=object)}"
In which European city is the Belvederen Gallery?,"{'answer_start': array([57]), 'text': array(['vienna'], dtype=object)}"
In which European city is the Belvederen Gallery?,"{'answer_start': array([785]), 'text': array(['vienna'], dtype=object)}"
In which European city is the Belvederen Gallery?,"{'answer_start': array([282]), 'text': array(['vienna'], dtype=object)}"
In which European city is the Belvederen Gallery?,"{'answer_start': array([813]), 'text': array(['vienna'], dtype=object)}"
Who's home runs record did Mark McGwire break in the 1998 season?,"{'answer_start': array([91]), 'text': array(['roger maris'], dtype=object)}"
Who's home runs record did Mark McGwire break in the 1998 season?,"{'answer_start': array([1147]), 'text': array(['roger maris'], dtype=object)}"
Who's home runs record did Mark McGwire break in the 1998 season?,"{'answer_start': array([1119]), 'text': array(['roger maris'], dtype=object)}"
How old was Woody Herman when he founded his own orchestra?,"{'answer_start': array([1001]), 'text': array(['13'], dtype=object)}"
The Naismith Award is presented in which sport?,"{'answer_start': array([937]), 'text': array(['basketball'], dtype=object)}"
The Naismith Award is presented in which sport?,"{'answer_start': array([186]), 'text': array(['basketball'], dtype=object)}"
The Naismith Award is presented in which sport?,"{'answer_start': array([617]), 'text': array(['basketball'], dtype=object)}"
In which country was the first permanent bungee jumping site situated?,"{'answer_start': array([673]), 'text': array(['new zealand'], dtype=object)}"
In which country was the first permanent bungee jumping site situated?,"{'answer_start': array([549]), 'text': array(['new zealand'], dtype=object)}"
"""In which movie did Garbo say, """"I want to be alone"""".""","{'answer_start': array([596]), 'text': array(['grand hotel'], dtype=object)}"
"""In which movie did Garbo say, """"I want to be alone"""".""","{'answer_start': array([1396]), 'text': array(['grand hotel'], dtype=object)}"
In which river is the Boulder Dam?,"{'answer_start': array([229]), 'text': array(['colorado'], dtype=object)}"
In which river is the Boulder Dam?,"{'answer_start': array([740]), 'text': array(['colorado'], dtype=object)}"
In which river is the Boulder Dam?,"{'answer_start': array([1452]), 'text': array(['colorado'], dtype=object)}"
Which journalist first told the world about the My Lai massacre?,"{'answer_start': array([1091]), 'text': array(['seymour hersh'], dtype=object)}"
Which legendary dancer was Oscar-nominated for The Towering Inferno?,"{'answer_start': array([455]), 'text': array(['fred astaire'], dtype=object)}"
Which Joan's career revived in Whatever Happened to Baby Jane?,"{'answer_start': array([492]), 'text': array(['crawford'], dtype=object)}"
Which Oscar-nominated film had You Sexy Thing as its theme song?,"{'answer_start': array([1116]), 'text': array(['full monty'], dtype=object)}"
What was the Paramount Film Company originally called?,"{'answer_start': array([1162]), 'text': array(['famous players film company'], dtype=object)}"
Which country does the airline TAAG come from?,"{'answer_start': array([336]), 'text': array(['angola'], dtype=object)}"
Which country does the airline TAAG come from?,"{'answer_start': array([276]), 'text': array(['angola'], dtype=object)}"
Which country does the airline TAAG come from?,"{'answer_start': array([745]), 'text': array(['angola'], dtype=object)}"
Which US president won the Nobel Peace Prize in 1920?,"{'answer_start': array([1386]), 'text': array(['woodrow wilson'], dtype=object)}"
Which US president won the Nobel Peace Prize in 1920?,"{'answer_start': array([919]), 'text': array(['woodrow wilson'], dtype=object)}"
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,"{'answer_start': array([887]), 'text': array(['belgian'], dtype=object)}"
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,"{'answer_start': array([591]), 'text': array(['belgian'], dtype=object)}"
On the Internet what is Spam?,"{'answer_start': array([1195]), 'text': array(['junk mail'], dtype=object)}"
On the Internet what is Spam?,"{'answer_start': array([1157]), 'text': array(['junk mail'], dtype=object)}"
"In baseball, where do the Orioles come from?","{'answer_start': array([357]), 'text': array(['baltimore'], dtype=object)}"
Which film director guested as the FBI Director in The Silence of the Lambs?,"{'answer_start': array([741]), 'text': array(['roger corman'], dtype=object)}"
"In baseball, where do the Royals come from?","{'answer_start': array([618]), 'text': array(['kansas city'], dtype=object)}"
"In baseball, where do the Royals come from?","{'answer_start': array([1004]), 'text': array(['kansas city'], dtype=object)}"
"In baseball, where do the Royals come from?","{'answer_start': array([1261]), 'text': array(['kansas city'], dtype=object)}"
What was Pete Sampras seeded when he won his first US Open?,"{'answer_start': array([896]), 'text': array(['twelve'], dtype=object)}"
Which grand slam did Pete Sampras not win in the 20th century?,"{'answer_start': array([814]), 'text': array(['french'], dtype=object)}"
What is the largest city in Ohio?,"{'answer_start': array([430]), 'text': array(['cleveland'], dtype=object)}"
What is the largest city in Ohio?,"{'answer_start': array([159]), 'text': array(['cleveland'], dtype=object)}"
In which year was the Juilliard School founded in New York?,"{'answer_start': array([761]), 'text': array(['1905'], dtype=object)}"
In which year was the Juilliard School founded in New York?,"{'answer_start': array([814]), 'text': array(['1905'], dtype=object)}"
What had Edmond Hillary worked at before taking up mountain climbing?,"{'answer_start': array([714]), 'text': array(['beekeeping'], dtype=object)}"
Beloved in 1999 was whose first movie since The Color Purple in 1985?,"{'answer_start': array([830]), 'text': array(['oprah'], dtype=object)}"
Beloved in 1999 was whose first movie since The Color Purple in 1985?,"{'answer_start': array([552]), 'text': array(['oprah'], dtype=object)}"
Beloved in 1999 was whose first movie since The Color Purple in 1985?,"{'answer_start': array([178]), 'text': array(['oprah'], dtype=object)}"
In which sci fi classic did the space ship Nostromo first appear?,"{'answer_start': array([390]), 'text': array(['aliens'], dtype=object)}"
In which sci fi classic did the space ship Nostromo first appear?,"{'answer_start': array([1015]), 'text': array(['aliens'], dtype=object)}"
In which country was Earl Spencer's acrimonious divorce settlement heard?,"{'answer_start': array([368]), 'text': array(['south african'], dtype=object)}"
In which country was Earl Spencer's acrimonious divorce settlement heard?,"{'answer_start': array([1357]), 'text': array(['south african'], dtype=object)}"
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,"{'answer_start': array([629]), 'text': array(['john astin'], dtype=object)}"
The Suez Canal connects the Mediterranean Sea to which other Sea?,"{'answer_start': array([660]), 'text': array(['red sea'], dtype=object)}"
The Suez Canal connects the Mediterranean Sea to which other Sea?,"{'answer_start': array([1250]), 'text': array(['red sea'], dtype=object)}"
The Suez Canal connects the Mediterranean Sea to which other Sea?,"{'answer_start': array([235]), 'text': array(['red sea'], dtype=object)}"
What color golf balls are used on the golf course in Antarctica?,"{'answer_start': array([87]), 'text': array(['orange'], dtype=object)}"
What color golf balls are used on the golf course in Antarctica?,"{'answer_start': array([348]), 'text': array(['orange'], dtype=object)}"
What color golf balls are used on the golf course in Antarctica?,"{'answer_start': array([1074]), 'text': array(['orange'], dtype=object)}"
For which team did Babe Ruth blast his last Major League home run?,"{'answer_start': array([1049]), 'text': array(['boston braves'], dtype=object)}"
Which singer had a big 60s No 1 with Roses Are Red?,"{'answer_start': array([135]), 'text': array(['bobby vinton'], dtype=object)}"
Which singer had a big 60s No 1 with Roses Are Red?,"{'answer_start': array([73]), 'text': array(['bobby vinton'], dtype=object)}"
What is Harrison Ford's real name?,"{'answer_start': array([206]), 'text': array(['harrison ford'], dtype=object)}"
What is Harrison Ford's real name?,"{'answer_start': array([64]), 'text': array(['harrison ford'], dtype=object)}"
What is Harrison Ford's real name?,"{'answer_start': array([901]), 'text': array(['harrison ford'], dtype=object)}"
Which rock star did Cindy Crawford name her first son after?,"{'answer_start': array([660]), 'text': array(['presley'], dtype=object)}"
Which rock star did Cindy Crawford name her first son after?,"{'answer_start': array([181]), 'text': array(['presley'], dtype=object)}"
In which country did the Internet start?,"{'answer_start': array([969]), 'text': array(['america'], dtype=object)}"
Which was the first European city this century to open an underground railway system?,"{'answer_start': array([411]), 'text': array(['paris'], dtype=object)}"
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,"{'answer_start': array([548]), 'text': array(['james stewart'], dtype=object)}"
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,"{'answer_start': array([1219]), 'text': array(['barbara eden'], dtype=object)}"
Who won baseball's first World Series of the 80s?,"{'answer_start': array([366]), 'text': array(['phillies'], dtype=object)}"
Who won baseball's first World Series of the 80s?,"{'answer_start': array([550]), 'text': array(['phillies'], dtype=object)}"
Who won baseball's first World Series of the 80s?,"{'answer_start': array([509]), 'text': array(['phillies'], dtype=object)}"
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""","{'answer_start': array([816]), 'text': array(['rocky marciano'], dtype=object)}"
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""","{'answer_start': array([219]), 'text': array(['rocky marciano'], dtype=object)}"
Who succeeded Brezhnev as Soviet premier?,"{'answer_start': array([1150]), 'text': array(['yuri andropov'], dtype=object)}"
In which events did Gert Fredriksson win six Olympic gold medals?,"{'answer_start': array([951]), 'text': array(['canoeing'], dtype=object)}"
In which events did Gert Fredriksson win six Olympic gold medals?,"{'answer_start': array([43]), 'text': array(['canoeing'], dtype=object)}"
Aung San Suu Kyi is a controversial leader in which country?,"{'answer_start': array([464]), 'text': array(['myanmar'], dtype=object)}"
Aung San Suu Kyi is a controversial leader in which country?,"{'answer_start': array([1050]), 'text': array(['myanmar'], dtype=object)}"
Aung San Suu Kyi is a controversial leader in which country?,"{'answer_start': array([687]), 'text': array(['myanmar'], dtype=object)}"
Which actress wrote the novel The Last of the Really Great Whangdoodles?,"{'answer_start': array([56]), 'text': array(['julie andrews'], dtype=object)}"
Which actress wrote the novel The Last of the Really Great Whangdoodles?,"{'answer_start': array([266]), 'text': array(['julie andrews'], dtype=object)}"
